Title,Original,Generated
One Minute to Zero,Produced at a cost of millions...to bring you A MILLION THRILLS!,It's not war.
The Last Woman,Love. Hate. Loneliness. Humor. Sensuality. Nothing will prepare you for the devastating climax.,A story of love and loss.
Somersault,Love can turn you upside down.,It's not easy being a teenager.
Subspecies 4: Bloodstorm,The night has fangs!,Vengeance is the only weapon that can stop a vampire.
Passion Play,Love Is Stronger Than Death.,He's the only one who can save the world.
Two Seconds,HIS LIFE WAS A LIVING HELL until he killed the thing that Crushed him!,It's not the end of the world.
Paris is Burning,Having a ball... Wish you were here.,The story of the New York drag scene.
Repo! The Genetic Opera,Not Your Parent's Opera,It's not just a loan.
Blood of Ghastly Horror,Human zombies rise from their coffins as living corpses!,You can't kill him.
The Tale of the Princess Kaguya,A princess's crime and punishment,The Forbidden Forbidden Forbidden
Dirty Rotten Scoundrels,Nice guys finish last. Meet the winners.,It's not a game.
Harold and Maude,They were meant to be. But exactly what they were meant to be is not quite clear.,The story of Harold and Maude.
Monster Pies,Sometimes opposites don't attract,A new kid in town.
Monster High: 13 Wishes,Be scare-ful what you wish for,It's a NEW School Year!
God's Little Acre,"Love! Hate! Pride! Passion! Rampant, Riotous In the Heat of a Southern Sun!",The story of a family's quest to find the gold.
The Payoff,HE'S BACK AGAIN... The Fastest talking newshawk in his greatest role!,There's a lot more going on than you think.
Fear and Loathing in Las Vegas,"Buy the ticket, take the ride.",A trip to the edge of your seat.
Seven Days to Noon,A Boulting Bros. Thriller With a Difference!,He's back.
Back from Hell,A demonic exorcism releases the evil inside,It's not what you think.
Sisters,They were joined at birth by the devil and the evil never left them!,The truth is stranger than fiction.
The Odd Couple II,Some arguments stand the test of time,30 Years After the First Movie
Dodsworth,Here is a picture that was marked for greatness before it was ever screened!,The story of a man who changed the face of the world.
A League of Ordinary Gentlemen,Inside The Wild Wild World Of Professional Bowling!,It's not about the money.
Dark House,Death Lives Here,It's not just a house.
John Tucker Must Die,Don't Get Mad. Get Even.,A comedy about friendship and revenge.
Duel,Fear is the driving force.,You can't run from it.
Twister,A Comic Adventure In Windy Living,A family is about to get a little crazy.
Silent Fall,A Savage Crime. A Silent Witness.,Sometimes the only way to solve a murder is to find the killer.
Stag,The life of the party just died!,It's not a party.
Sealed Lips,Master criminal or missing citizen?,Romano Romano
The Island President,Can this man save the world?,The story of one man's fight for freedom.
Runner Runner,The house always wins.,You can't cheat on your face.
Happy Accidents,Sometimes the future is better than it used to be.,The future is here.
Inner Demons,Exorcise caution.,It's not what you think.
Eyeborgs,You Are Being Watched!,No one is above the law.
Alice in Wonderland,You're invited to a very important date.,She was born to rule.
The Wave,Evil is something that you learn,How do you manipulate the masses?
Get Low,Every secret dies somewhere.,The true story of a man who threw a party...
Imaginary Crimes,When a father doesn't live up to his dreams... a daughter has to stand up for hers.,The story of a man who made a life hell for himself.
A Simple Plan,Sometimes good people do evil things.,It's all about the money.
She-Wolf of London,A woman whose hatred knew no bounds!,It's not what you think it is.
Jailbait!,A comedy about getting off ... with probation.,The funniest movie you'll ever see!
Love Potion No. 9,Imagine if sex appeal came in a bottle.,It's not what you think.
Dillinger,The Best Damn Bank Robber in the World!,The story of one man's fight for justice against the mob.
Zapped,Boys will be boys... but better,It's not what you think it is.
Spanking the Monkey,A gripping comedy about letting go.,Sometimes the only way out is through the door.
The Beat Generation,Behind the Weird,A cop with a killer instinct.
Under Capricorn,"Mystery, murder and passion from the master of suspense!",A comedy about love and death.
Appointment with Danger,ALAN LADD as the U.S. Mail's ace agent smashes the biggest mail robbery plan in history!,Two cops.
Tumbledown,Turn the page. Start a new chapter.,"A story of love, loss, and redemption."
High Risk,Getting in was easy... getting out was war!!!,It's not a mission.
Everyday People,You can't wash out all the color and keep the flavor.,It's not just a restaurant.
Children of a Lesser God,Love has a language all of its own.,"A comedy about love, friendship, and the deaf."
Mr. Magoo,You won't believe your eyes.,A man with horrible eyesight.
Hellgate,Beyond the darkness terror lives forever.,You can't kill the dead.
This Man Must Die,The House of Hatred and Revenge,It's not just a movie.
The Shrine,"Once you find it, they won't let you leave.",The truth is stranger than fiction.
Patrick,Cruel. Controlling. Comatose.,You can't escape your past.
For the Moment,A Moment Can Last A Lifetime.,"A story of love, war and love."
Bayou,"Somewhere, a 15-year old girl may be a teenager... in the Cajun country, she's a woman full-grown! ...and every Bayou man knows it!","A story of love, betrayal and revenge."
Asphalt Playground,"Where I come from, when you stop dreaming, you die.","A story about love, friendship, and the future."
The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...",The story of a man with a camera.
Blood Widow,Die in Silence.,The blood-thirsty killer is back!
Beach Blanket Bingo,It's the game that separates the girls and the boys...into groups of two!,The Beach Party of the Year!
A Better Life,Every father wants more for his son.,It's not just a gardener's job.
A Single Shot,One Chance. One Secret. One Mistake,The hunt is on.
April Fool's Day,Childish pranks turn into a bloody battle for survival!,You can't escape your past.
La viaccia,A woman's touch becomes a man's obsession,A story of love and power.
Lore,"When your life is a lie, who can you trust?",The story of a girl who risked everything to save the world.
Wrath of the Titans,Feel the Wrath,The story of Perseus
The Little Engine That Could,The Thrilling Animated Adaption of the Cherished Children's Classic,Welcome to the future.
The Wedding Video,Love. Honour. Disarray.,The most outrageous wedding ever filmed!
Alias Jesse James,Look who they gave a gun!,He's the only one who can stop him.
The Spoils of Babylon,Love Has No Morals.,The story of two families.
Storm,You WILL get wet.,It's not just a storm.
American History X,Some Legacies Must End.,The story of a man who changed the face of crime forever.
The Great Diamond Robbery,A NEW Uproarious Role in the Career of the World's Funniest Man,The story of a man who made the mistake of his life.
Orca: The Killer Whale,Terror just beneath the surface.,The killer whale is back!
YellowBrickRoad,They went looking for evil in the forest but the forest found evil in them,The story of a small town that walked together into the woods.
Scooby-Doo! The Mystery Begins,The Greatest Mystery Is How It All Began.,You can't escape the truth.
A Small Town in Texas,All Poke wanted was to get his girl and get out. All the Sheriff wanted... was to get Poke.,He's got a lot on his mind.
The Informers,Greed is good. Sex is easy. Youth is forever.,"Sex, drugs, sex, sex"
Phyllis and Harold,If you had to do it again...would you?,The story of a family.
"In the Meantime, Darling",A gay and tender story of G.I. love!,A story of love and war.
Nightbeast,His Hands Tear Through Flesh and Bone!,It's not just a movie.
Mischief Night,All's Fair in Blood and Gore,You can't escape your past.
Dead Man's Eyes,Murdered!...but his eyes lived to condem his killer...,It's not just a blind man.
Table for Three,Never trust a perfect couple.,The perfect couple.
My Favorite Martian,The martian has landed. There goes the neighborhood.,The story of a man who risked everything to save his daughter.
Hellsinki,"Happiness, jail or the grave?",The story of a gang of outlaws who set out to rob a bank.
Crazy Over Horses,SO HILARIOUS! IT'S CRAZY ENOUGH TO MAKE EVEN A HORSE LAUGH!,It's a race to the finish!
Hangman's Knot,It Happened When A Killer With A Rope Ruled Nevada!,The true story of a true story.
Harriet Craig,What was Harriet Craig's lie?,"A story of love, betrayal, and revenge."
The Matador,A hitman and a salesman walk into a bar...,It's not what you think.
Fort Worth,"RANDOLPH SCOTT as Fighting Editor Britt of the ""Fort Worth Star"" - His Fearless Headlines Wrote Fort Worth's History---His Six-Guns Made It!",The story of a man who risked everything to save the lives of his family.
Hector and the Search for Happiness,Sometimes to find yourself you need to get a little lost.,Life is a journey.
18 Again!,"His mind was 81. His body was 18. When Jack Watson found his fountain of youth, it overflowed with comedy.",The story of George Burns' 18-year-old grandson.
Bad Kids Go To Hell,Daddy's money can't save them now.,Sometimes the worst is just the beginning.
Rampage,Get RambOWNED!,They're coming for you.
Rocket Science,Life is easier done than said.,Sometimes you have to make a choice.
Three Strangers,BREATHTAKING SUSPENSE - THRILLS!,Three strangers.
Water's Edge,"In a small town, it's shocking what washes up.",A small town in the middle of nowhere.
Red Victoria,"Finding your muse, can be murder.",It's not just a movie.
